host_star_name,exoplanet_name,disc_year,orbital_period,earth_mass,earth_radii,den_gcm3,dist_parsec,solar_mass,solar_rad
HAT-P-14,HAT-P-14 b,2010,4.62767,1093.3352,15.917,1.56,224.1,2.65,1.82
HAT-P-15,HAT-P-15 b,2010,10.8635,616.5902,11.882,1.96,193.56,1,1.07
HAT-P-16,HAT-P-16 b,2010,2.77596,1332.605,14.448,2.42,235,1.22,1.24
HAT-P-17,HAT-P-17 b,2010,10.33852,184.3414,11.769,0.64,92.63,0.99,0.87
HAT-P-17,HAT-P-17 c,2010,5584,1080.6,13.1,2.64,92.63,0.99,0.87
HAT-P-18,HAT-P-18 b,2010,5.508023,62.61,11.153,0.25,166,0.77,0.75
HAT-P-19,HAT-P-19 b,2010,4.008778,92.802,12.689,0.25,215,0.84,0.82
HAT-P-2,HAT-P-2 b,2007,5.6335158,2765.121,10.66,7.29,128.25,1.33,1.39
HAT-P-20,HAT-P-20 b,2010,2.875317,2302.899,9.718,13.78,70,0.76,0.69
HAT-P-21,HAT-P-21 b,2010,4.12448,1547.8321,12.442,4.6,279.48,1.24,1.21
HAT-P-22,HAT-P-22 b,2010,3.21222,785.0401,12.89,2.14,81.96,1.13,1.11
HAT-P-23,HAT-P-23 b,2010,1.21288,425.8922,12.218,1.406,368.61,0.58,0.96
HAT-P-24,HAT-P-24 b,2010,3.35524,238.3725,14.572,0.44,420.26,1.37,1.38
HAT-P-25,HAT-P-25 b,2010,3.65281514,180.84527,12.722,0.483,302.95,1.01,0.92
HAT-P-26,HAT-P-26 b,2010,4.23452,22.2481,7.062,0.4,142.41,1.12,0.87
HAT-P-27,HAT-P-27 b,2011,3.039577,197.05,11.43,0.76,204,0.94,0.9
HAT-P-28,HAT-P-28 b,2011,3.257215,198.953,13.585,0.44,395,1.02,1.1
HAT-P-29,HAT-P-29 b,2011,5.72319,279.6904,13.115,0.79,316.36,1.45,1.3
HAT-P-3,HAT-P-3 b,2007,2.8997,206.5895,10.536,0.855,135.08,1.06,0.87
HAT-P-30,HAT-P-30 b,2011,2.8106,263.7989,16.141,0.309,215.29,1.55,1.31
HAT-P-31,HAT-P-31 b,2011,5.00542,721.4741,12.218,2.18,347.48,1.31,1.39
HAT-P-32,HAT-P-32 b,2011,2.1500082,216.1244,22.194,0.108,291.51,1.13,1.37
HAT-P-33,HAT-P-33 b,2011,3.47447,292.4036,20.737,0.2,400.55,1.82,1.79
HAT-P-34,HAT-P-34 b,2011,5.45265,2227.9883,15.132,2.4,251.08,4.26,1.73
HAT-P-35,HAT-P-35 b,2011,3.64671,2390.0816,39.792,0.55,514.2,23.56,3.82
HAT-P-36,HAT-P-36 b,2011,1.32734683,587.41341,14.314,1.175,296.93,1.03,1.04
HAT-P-37,HAT-P-37 b,2011,2.797436,371.528,13.204,0.89,411,0.93,0.88
HAT-P-38,HAT-P-38 b,2012,4.640382,84.857,9.247,0.59,249,0.89,0.92
HAT-P-39,HAT-P-39 b,2012,3.54387,190.372,17.609,0.19,642,1.4,1.62
HAT-P-4,HAT-P-4 b,2007,3.056536,213.255,14.28,0.403,314,0.56,1.62
HAT-P-40,HAT-P-40 b,2012,4.45724,152.5584,17.038,0.15,470.68,1.03,1.94
HAT-P-41,HAT-P-41 b,2012,2.69405,378.2177,22.978,0.204,351.63,2.56,2.05
HAT-P-42,HAT-P-42 b,2012,4.641878,331.801,14.348,0.61,447,1.18,1.53
HAT-P-43,HAT-P-43 b,2012,3.332687,210.395,14.359,0.39,542,1.05,1.1
HAT-P-44,HAT-P-44 b,2014,4.301219,111.871,13.922,0.23,363,0.94,0.95
HAT-P-44,HAT-P-44 c,2014,872.2,1271.3,13,3.18,363,0.94,0.95
HAT-P-45,HAT-P-45 b,2014,3.128992,283.492,15.984,0.38,305,1.26,1.32
HAT-P-46,HAT-P-46 b,2014,4.463129,156.684,14.392,0.28,296,1.28,1.4
HAT-P-49,HAT-P-49 b,2014,2.69155,699.226,17.822,0.75,353.89,2.22,2.06
HAT-P-5,HAT-P-5 b,2007,2.78849,311.4734,13.563,0.642,306.01,1.04,1.12
HAT-P-50,HAT-P-50 b,2015,3.1220109,429.0705,14.437,0.78,497,1.27,1.7
HAT-P-51,HAT-P-51 b,2015,4.2180278,98.20947,14.493,0.178,470,0.98,1.04
HAT-P-52,HAT-P-52 b,2015,2.7535953,259.98494,11.31,0.98,385,0.89,0.89
HAT-P-53,HAT-P-53 b,2015,1.9616241,471.65972,14.773,0.8,719,1.09,1.21
HAT-P-54,HAT-P-54 b,2015,3.799847,241.5508,10.581,1.118,144.25,0.65,0.62
HAT-P-55,HAT-P-55 b,2015,3.5852467,184.97706,13.249,0.435,480,1.01,1.01
HAT-P-56,HAT-P-56 b,2015,2.79083,734.1873,16.926,0.75,323.5,1.42,1.47
HAT-P-57,HAT-P-57 b,2015,2.4653,448.1403,19.504,0.332,282.08,2.77,1.85
HAT-P-6,HAT-P-6 b,2007,3.85298,419.5356,16.589,0.558,277.5,1.79,1.62
HAT-P-65,HAT-P-65 b,2016,2.6054552,167.49641,21.185,0.096,841,1.21,1.86
HAT-P-66,HAT-P-66 b,2016,2.972086,248.86089,17.822,0.242,927,1.25,1.88
HAT-P-67,HAT-P-67 b,2017,4.8101025,108.0622,23.371,0.052,320,1.64,2.55
HAT-P-69,HAT-P-69 b,2019,4.7869491,1137.8314,18.786,1.02,343.9,1.65,1.93
HAT-P-7,HAT-P-7 b,2008,2.20474,584.8072,16.926,0.712,344.46,1.56,2
HAT-P-70,HAT-P-70 b,2019,2.74432452,2154.8874,20.961,1.54,329,1.89,1.86
HAT-P-8,HAT-P-8 b,2008,3.07634,406.8224,15.693,0.568,212.84,1.27,1.57
HAT-P-9,HAT-P-9 b,2008,3.92281072,238.05467,15.614,0.342,480,1.28,1.34
HATS-1,HATS-1 b,2012,3.446459,589.55,14.594,1.03,303,0.99,1.04
HATS-10,HATS-10 b,2015,3.312846,167.17858,10.862,0.7,496,1.1,1.1
