puzzleid,red_list,green_list,blue_list,stars
10572,13,2,100,114
10571,20,0,60,1
10570,0,0,58,48
10569,0,0,52,23
10568,58,0,134,58
10567,4,0,72,1
10566,1,5,153,158
10565,1,1,100,101
10564,2,3,67,71
10563,3,1,53,56
10562,3,11,98,111
10561,29,22,56,1
10560,5,18,99,12
10559,9,7,33,48
10558,9,8,24,21
10557,4,1,1,3
10556,12,20,70,101
10555,16,13,77,105
10554,16,16,65,1
10553,0,58,72,72
10552,14,60,10,83
10551,14,13,55,81
10550,31,3,31,7
10549,0,0,59,58
10548,10,107,12,128
10547,3,34,53,2
10546,0,19,47,1
10545,0,27,83,39
10544,22,0,39,11
10543,30,29,27,12
10542,6,4,91,20
10541,58,51,49,157
10540,49,0,74,50
10539,14,96,14,120
10538,12,16,65,45
10537,4,23,88,114
10536,19,46,42,1
10535,10,26,72,1
10534,32,52,71,154
10533,9,75,4,39
10532,7,8,66,32
10531,6,0,31,7
10530,14,14,22,14
10529,13,27,89,128
10528,34,5,5,1
10527,29,4,159,10
10526,33,11,7,4
10525,1,17,44,18
10524,6,55,7,43
10523,8,0,37,8
10521,4,0,48,51
10520,8,8,64,79
10519,16,0,104,16
10518,5,19,168,191
10517,0,5,63,67
10516,30,1,141,170
10515,0,4,92,71
10514,23,55,95,171
10513,21,28,69,117
10512,3,0,41,43
10511,4,1,41,25
10510,14,17,85,115
10509,0,0,144,143
10508,10,1,67,1
10507,9,86,58,23
10506,16,16,56,87
10505,5,8,52,64
10504,3,21,28,2
10503,6,7,94,1
10502,5,8,85,96
10501,7,10,66,19
10500,14,21,78,71
10499,1,0,5,3
10498,0,32,63,1
10497,8,24,94,125
10496,18,8,115,15
10495,5,6,113,123
10494,38,12,89,138
10492,9,2,57,6
10491,0,97,4,47
10490,15,39,45,15
10489,0,7,4,4
10488,0,7,45,51
10487,3,3,46,51
10486,0,0,59,23
10485,18,17,49,83
10484,45,11,71,70
10483,49,10,76,48
10481,0,0,111,33
10480,0,0,192,36
10479,36,0,40,1
10478,26,11,19,1
10477,48,43,3,20
10476,69,0,67,135
10475,2,1,46,2
10474,6,7,61,1
10473,7,2,42,1
10472,12,0,69,2
10471,15,0,45,15
10470,6,0,73,1
10469,6,0,84,1
10468,42,0,97,137
10467,4,2,18,23
10466,124,3,20,145
10465,3,0,25,10
