rowid,fpl_hostname,fpl_name,fpl_disc,fpl_orbper,fpl_smax,fpl_eccen,fpl_bmasse,fpl_bmassj,fpl_rade,fpl_radj,fpl_rads,fpl_dens,fpl_eqt,fst_dist,fst_teff,fst_logg,fst_lum,fst_mass,fst_rad,fst_met,fst_age
72,CoRoT-16,CoRoT-16 b,2011,5.35227,0.0618,0.33,170.032,0.535,13.11,1.17,0.12,0.44,,840,5650,4.36,-0.435,1.1,1.19,0.19,6.73
73,CoRoT-17,CoRoT-17 b,2011,3.7681,0.0461,0,772.29,2.43,11.43,1.02,0.105,2.82,1626,920,5740,4.4,0.134,1.04,1.59,0,10.7
74,CoRoT-18,CoRoT-18 b,2011,1.9000693,0.0295,0.08,1102.82,3.47,14.68,1.31,0.135,2.2,1550,870,5440,4.4,-0.226,0.95,1,-0.1,0.032
75,CoRoT-19,CoRoT-19 b,2011,3.89713,0.0518,0.047,352.78,1.11,14.46,1.29,0.133,0.71,2000,770,6090,4.07,0.544,1.21,1.65,-0.02,5
76,CoRoT-2,CoRoT-2 b,2008,1.7429935,0.02798,0.0143,1102.82,3.47,16.432,1.466,0.151,1.47,1521,200,5625,4.53,-0.321,0.96,0.91,-0.03,2.7
77,CoRoT-20,CoRoT-20 b,2011,9.24285,0.09,0.59,1366.669,4.3,9.416,0.84,0.086,8.87,1024,864.31,4947.5,4.35,0.006,1.14,1.37,0.14,0.1
78,CoRoT-20,CoRoT-20 c,2018,1675,2.9,0.6,5403.11,17,12.2,1.09,0.112,16.4,,864.31,4947.5,4.35,0.006,1.14,1.37,0.14,0.1
79,CoRoT-21,CoRoT-21 b,2012,2.72474,0.0417,0,718.2958,2.26,14.572,1.3,0.134,1.36,,1398.83,6200,3.7,0.705,1.29,1.95,0,4.1
80,CoRoT-22,CoRoT-22 b,2014,9.75598,0.092,0.077,12.2,0.038,4.88,0.435,0.045,0.249,885,592,5939,4.36,0.014,1.1,1.14,0.17,3.3
81,CoRoT-23,CoRoT-23 b,2011,3.6313,0.048,0.16,889.9,2.8,11.77,1.05,0.108,3,1660,600,5900,4.3,0.087,1.14,1.61,0.05,7.2
82,CoRoT-24,CoRoT-24 b,2014,5.1134,0.056,0,5.7,0.018,3.7,0.33,0.034,0.9,1070,600,4950,4.55,-0.601,0.91,0.86,0.3,11
