hostname,name,disc_method,disc_year,orbital_period,earth_mass,earth_radii,den_gcm3,parsec_dist,optmag,optmagband,nirmag,st_eff_temp,st_surface_g,st_lumin,solar_mass,solar_rad,age_gyr
HD 220197,HD 220197 b,Radial Velocity,2018,1728,63.566,9.32,0.431,64.53,9,V (Johnson),7.349,5683,4.42,-0.003,0.91,0.98,10.165
HD 220689,HD 220689 b,Radial Velocity,2012,2266.4,355.33394,13.7,0.759,46.94,7.795,V (Johnson),6.326,5921,4.36,0.173,1.02,1.07,4.586
HD 220773,HD 220773 b,Radial Velocity,2011,3724.7,460.8,13.6,1.01,49,7.093,V (Johnson),5.651,5940,4.24,0.498,1.16,1.68,4.4
HD 220842,HD 220842 b,Radial Velocity,2016,218.47,1010.6994,13.1,2.47,62.5,7.99,V (Johnson),6.555,5960,4.24,0.357,1.13,1.42,
HD 221287,HD 221287 b,Radial Velocity,2007,456.1,982.05,13.1,2.4,56.01,7.807,V (Johnson),6.569,6304,4.43,0.22,1.25,1.21,1.3
HD 221416,HD 221416 b,Transit,2019,14.2767,60.5,9.17,0.431,95.08,8.146,V (Johnson),6.043,5080,3.58,0.712,1.21,2.94,4.9
HD 221420,HD 221420 b,Radial Velocity,2019,22482,3082.951,12.5,8.67,31.17,5.81,V (Johnson),4.306,5830,4.08,0.603,1.67,2,
HD 221585,HD 221585 b,Radial Velocity,2016,1173,511.7063,13.5,1.14,55.94,7.465,V (Johnson),5.781,5620,4.05,0.422,1.19,1.85,6.2
HD 222076,HD 222076 b,Radial Velocity,2016,871,495.8148,13.5,1.11,91.39,7.459,V (Johnson),5.127,4806,3.31,0.929,1.07,4.1,
HD 222155,HD 222155 b,Radial Velocity,2011,3999,673.7996,13.4,1.54,50.68,7.114,V (Johnson),5.51,5701,3.99,0.509,1.21,1.85,7.854
HD 222582,HD 222582 b,Radial Velocity,1999,572.38,2660.2371,12.6,7.31,42.21,7.68,V (Johnson),6.173,5790,4.38,0.115,1.12,1.13,10.24
HD 224538,HD 224538 b,Radial Velocity,2016,1189.1,1897.4451,12.8,4.97,79.24,8.06,V (Johnson),6.76,6097,4.19,0.47,1.34,1.54,2
HD 224693,HD 224693 b,Radial Velocity,2006,26.6904,222.481,14,0.446,93.75,8.23,V (Johnson),6.808,5894,4.18,0.61,1.31,1.93,4.12
